Company_Name,Experience_Required,Job_Description,Job_Title,Keyskills,Link,Location,Posted_By,Posted_On,Salary
Protiviti,3-4 yrs,"- Working jointly with our solution architects and business consultants, the Senior Consultant will be ...",Consultant - Data Analytics - Machine Learning,"SQL, Business Intelligence, Data Analytics, R, Data Warehousing...",https://www.naukri.com/job-listings-Consultant-Data-Analytics-Machine-Learning-Protiviti-Bengaluru-Delhi-NCR-3-to-4-years-260918900098?src=jobsearchDesk&sid=15381483126906&xp=1&px=1,"Bengaluru, Delhi NCR",  HR  ,Today,  Not disclosed 
Ameriprise,7-8 yrs,&bull; Experience of minimum 3 years in SAS is mandate;&bull; Experience of minimum 3 years in ...,Leader - Data Analytics,"Leader - Data Analytics, Analyst",https://www.naukri.com/job-listings-Leader-Data-Analytics-Ameriprise-Gurgaon-7-to-8-years-270918900653?src=jobsearchDesk&sid=15381483126906&xp=2&px=1,Gurgaon,  Vivek Negi  ,1 day ago,  Not disclosed 
SLA Consultants India,0-5 yrs,N/A,"Data Analyst / Data Science - Excel,sql,sas,python, R - Analytics Team","data analyst, reporting analyst, sas, statistics, sas programmer...","https://www.naukri.com/job-listings-Data-Analyst-Data-Science-Excel-sql-sas-python-R-Analytics-Team-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-270918000257?src=jobsearchDesk&sid=15381483126906&xp=3&px=1,https://www.naukri.com/recruiters/profile/bhanu-1128669?xz=0_0_7,https://www.naukri.com/recruiters/profile/bhanu-1128669?xz=0_0_7","Delhi NCR, Gurgaon, Noida",  Bhanu  ,1 day ago,"    2,00,000 - 4,25,000 P.A.  "
CLARITY CONSULTING,4-8 yrs,"Must Have experience : SAS,SSIS,VBA TOOLS,Tableau,R,Python, ...",Senior Data Analytics,"Tableau, R, Data Analytics, SAS, VBA","https://www.naukri.com/job-listings-Senior-Data-Analytics-CLARITY-CONSULTING-Gurgaon-Sector-24-Gurgaon-4-to-8-years-080918000358?src=jobsearchDesk&sid=15381483126906&xp=4&px=1,https://www.naukri.com/recruiters/profile/gargiverma-3681134?xz=0_0_7,https://www.naukri.com/recruiters/profile/gargiverma-3681134?xz=0_0_7",Gurgaon(Sector-24 Gurgaon),  Gargi Verma  ,1 day ago,"    7,00,000 - 13,00,000 P.A.  "
Sun Life India Service Centre Pvt. Ltd.,4-6 yrs,Must be able to effectively communicate complex results to a business audience not familiar with complex ...,Senior Analyst  -  Data Analytics,"SAS, Coding, Data mining, Business intelligence, Analytical...",https://www.naukri.com/job-listings-Senior-Analyst-Data-Analytics-Sun-Life-India-Service-Centre-Pvt-Ltd-Gurgaon-4-to-6-years-250918900949?src=jobsearchDesk&sid=15381483126906&xp=5&px=1,Gurgaon,  HR  ,2 days ago,  Not disclosed 
Not Mentioned,0-3 yrs,Candidates may have the opportunity to work out of their home so this job may be ideal for someone who ...,Data Analytics Consultant: Virtual,"Logistic Regression, Statistical Modeling, SAS SQL, Time Series, Excel...",https://www.naukri.com/job-listings-Data-Analytics-Consultant-Virtual-Not-Mentioned-Delhi-NCR-Jaipur-Jodhpur-0-to-3-years-240918008671?src=jobsearchDesk&sid=15381483126906&xp=6&px=1,"Delhi NCR, Jaipur, Jodhpur",    ,4 days ago,"    1,50,000 - 3,50,000 P.A. Salary commensurate with exper...  "
Sun Life India Service Centre Pvt. Ltd.,4-7 yrs,N/A,Senior Analyst - Data Analytics (tableau & SAS Visual Analytics),"Data Mining, SAS Enterprise Guide, Data Analytics, Business Intelligence...",https://www.naukri.com/job-listings-Senior-Analyst-Data-Analytics-tableau-SAS-Visual-Analytics-Sun-Life-India-Service-Centre-Pvt-Ltd-Gurgaon-4-to-7-years-210918008881?src=jobsearchDesk&sid=15381483126906&xp=7&px=1,Gurgaon,  Not Provided  ,7 days ago,"    5,50,000 - 8,50,000 P.A.  "
Nacre Outsourcing,6-10 yrs,- Should be able to understand business needs and apply analytical concepts to generate actionable ...,Big Data Analytics Role - Insurance Domain - BFS,"Hadoop, Hive, Hdfs, Impala, Mapreduce, Spark, Big Data Analytics, R...",https://www.naukri.com/job-listings-Big-Data-Analytics-Role-Insurance-Domain-BFS-Nacre-Outsourcing-Gurgaon-6-to-10-years-240918900537?src=jobsearchDesk&sid=15381483126906&xp=8&px=1,Gurgaon,  HR  ,2 days ago,  Not disclosed 
ANRI SOLUTIONS HR SERVICES PVT LTD,1-6 yrs,"Demonstrable previous experience (project, studies or certifications) in one or more following areas: ...",Data Analytics - R/ R-studio/ Python Programmer for Noida,"Data Analytics, R, Statistical Modelling, Predictive modelling, Python...",https://www.naukri.com/job-listings-Data-Analytics-R-R-studio-Python-Programmer-for-Noida-ANRI-SOLUTIONS-HR-SERVICES-PVT-LTD-Noida-1-to-6-years-211217000404?src=jobsearchDesk&sid=15381483126906&xp=9&px=1,Noida,  HR  ,3 days ago,  Not disclosed 
Live connections,2-6 yrs,N/A,Immediate Job Opening for Data Analytics @ MNC,"data analytics, sql, R, PYTHON, Machine Learning",https://www.naukri.com/job-listings-Immediate-Opening-for-Data-Analytics-MNC-Live-connections-Bengaluru-Hyderabad-Mumbai-Delhi-NCR-2-to-6-years-210918007989?src=jobsearchDesk&sid=15381483126906&xp=10&px=1,"Bengaluru, Hyderabad, Mumbai, Delhi NCR",  PritamShah  ,7 days ago,"    1,25,000 - 6,25,000 P.A.  "
Huquo Consulting Pvt. Ltd,5-10 yrs,- Extensive experience using Big Data technologies (4-12 years) to analyze and solve business problems ...,Manager/senior Manager - Big Data Analytics - Banking Domain,"sql, hive, spark, big data analytics, tableau, data analysis...","https://www.naukri.com/job-listings-Manager-senior-Manager-Big-Data-Analytics-Banking-Domain-Huquo-Consulting-Pvt-Ltd-Gurgaon-5-to-10-years-140918900744?src=jobsearchDesk&sid=15381483126906&xp=11&px=1,https://www.naukri.com/recruiters/profile/rukhsarjawed-3809784?xz=0_0_7,https://www.naukri.com/recruiters/profile/rukhsarjawed-3809784?xz=0_0_7",Gurgaon,  Rukhsar Jawed  ,10 days ago,  Not disclosed 
HuQuo,3-8 yrs,"- Strong SAS at least 3 years of experience in SAS, VBA, and SQL (Mandatory);- Should have analytical ...",Senior Business Analyst - SAS Data - Analytics Firm,"sql, business analysis, data analytics, data mining, sas, vba, regression...","https://www.naukri.com/job-listings-Senior-Business-Analyst-SAS-Data-Analytics-Firm-HuQuo-Delhi-NCR-Gurgaon-3-to-8-years-230818900271?src=jobsearchDesk&sid=15381483126906&xp=12&px=1,https://www.naukri.com/recruiters/profile/arpanam-2685194?xz=0_0_7,https://www.naukri.com/recruiters/profile/arpanam-2685194?xz=0_0_7","Delhi NCR, Gurgaon",  HuQuo Consulting  ,30 days ago,  Not disclosed 
Taazaa Inc.,3-5 yrs,"Manage end to end analytics projects including business requirement analysis, define scope, solution ...","Python Developer-big Data Analytics, Taazaa Inc., Sector 63, Noida","Python Developer, Big Data, Analytics, Hadoop, SQL, Excel, R, JSON, SPSS...",https://www.naukri.com/job-listings-Python-Developer-big-Data-Analytics-Taazaa-Inc-Sector-63-Noida-Taazaa-Inc-Delhi-Noida-3-to-5-years-190918008688?src=jobsearchDesk&sid=15381483126906&xp=13&px=1,"Delhi, Noida",    ,9 days ago,  Not disclosed 
Yoda Learning Solutions,3-7 yrs,Should be capable to deliver training modules to both L1 & L2 type of audiences. ;Should have a good ...,Data Analytics Trainer for Corporate Training Institute,"Alteryx, Corporate Training, Data Analytics, Business Intelligence...","https://www.naukri.com/job-listings-Data-Analytics-Trainer-for-Corporate-Training-Institute-Yoda-Learning-Solutions-Delhi-NCR-3-to-7-years-190918007875?src=jobsearchDesk&sid=15381483126906&xp=14&px=1,https://www.naukri.com/recruiters/profile/rishabhbhandari-3807894?xz=0_0_7,https://www.naukri.com/recruiters/profile/rishabhbhandari-3807894?xz=0_0_7",Delhi NCR,  Rishabh Bhandari  ,9 days ago,"    6,00,000 - 10,00,000 P.A.  "
HyrEzy Talent Solutions,1-5 yrs,- Experience with building insights using varied/alternate data sources;- Experience with large data ...,Data Scientist/business Analyst,"Data Analytics, Python, Business Analysis, Statistical Analysis...",https://www.naukri.com/job-listings-Data-Scientist-business-Analyst-HyrEzy-Talent-Solutions-Gurgaon-1-to-5-years-270918008897?src=jobsearchDesk&sid=15381483126906&xp=15&px=1,Gurgaon,  HR  ,Today,  Not disclosed 
Cargill Business Services India Private Limited,5-10 yrs,"5+ years practical experience with SAS, ETL, data processing and data analytics;5- 10 Years of ...",Manager - Data & Analytics,"data analytics, data analysis, training needs, business generation, sas...",https://www.naukri.com/job-listings-Manager-Data-Analytics-Cargill-Business-Services-India-Private-Limited-Gurgaon-5-to-10-years-100918900400?src=jobsearchDesk&sid=15381483126906&xp=16&px=1,Gurgaon,  HR  ,17 days ago,  Not disclosed 
Nacre Outsourcing,6-10 yrs,- Should be able to understand business needs and apply analytical concepts to generate actionable ...,Big Data Analytics Role - Insurance Domain - BFS,"Hadoop, Hive, Hdfs, Impala, Mapreduce, Spark, Big Data Analytics, R...",https://www.naukri.com/job-listings-Big-Data-Analytics-Role-Insurance-Domain-BFS-Nacre-Outsourcing-Gurgaon-6-to-10-years-100918900010?src=jobsearchDesk&sid=15381483126906&xp=17&px=1,Gurgaon,  HR  ,17 days ago,  Not disclosed 
Brainsearch Consulting Pvt Ltd.,15-18 yrs,"- Experience working with modern web technologies;- Experience architecting and developing high-volume, ...",Technical Architect - .net/ C#,"C#, Design Patterns, UML, .Net, OOAD, Software Architecture, C#.Net...",https://www.naukri.com/job-listings-Technical-Architect-net-C-Brainsearch-Consulting-Pvt-Ltd-Gurgaon-Noida-15-to-18-years-280918901183?src=jobsearchDesk&sid=15381483126906&xp=18&px=1,"Gurgaon, Noida",  HR  ,Today,  Not disclosed 
Accenture,2-6 yrs,Knowledge Advisor should be able to architect knowledge management and delivery strategy for the ...,CN - Strategy - Knowledge Advisor F&EP - 7,"Presales, Consulting, Change management, Content management...",https://www.naukri.com/job-listings-CN-Strategy-Knowledge-Advisor-F-EP-7-Accenture-Gurgaon-2-to-6-years-280918900411?src=jobsearchDesk&sid=15381483126906&xp=19&px=1,Gurgaon,  HR  ,Few Hours Ago,  Not disclosed 
Accenture,2-5 yrs,"Role : Application DeveloperRole Description : Design,  build and configure applications to meet ...",Application Developer,"XML, Virtualization, Business process, Outsourcing, Operations...",https://www.naukri.com/job-listings-Application-Developer-Accenture-Gurgaon-2-to-5-years-280918900381?src=jobsearchDesk&sid=15381483126906&xp=20&px=1,Gurgaon,  HR  ,Few Hours Ago,  Not disclosed 
Accenture,2-5 yrs,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,Application Developer,"SQL, XML, JSON, Business process, Solution architecture, Outsourcing...",https://www.naukri.com/job-listings-Application-Developer-Accenture-Gurgaon-2-to-5-years-280918900336?src=jobsearchDesk&sid=15381483126906&xp=21&px=1,Gurgaon,  HR  ,Few Hours Ago,  Not disclosed 
Outgrow Consulting,8-10 yrs,8-10 years of experience preferably in HRIS/ IT/ HR in cross cultural environment;- Must Have: 4-5 years ...,AM / DM -taleo Recruitment,"HR, Performance Appraisal, HRIS, Recruitment, Taleo, Oracle Support, SQL...",https://www.naukri.com/job-listings-AM-DM-taleo-Recruitment-Outgrow-Consulting-Noida-8-to-10-years-280918900053?src=jobsearchDesk&sid=15381483126906&xp=22&px=1,Noida,  HR  ,Today,  Not disclosed 
Premium,8-10 yrs,- You should be able to build a custom Function Module with medium complexity program logic;- As a ...,Hadoop/big Data Consultant - Splunk,"Data Analytics, Big Data, Analytics, Analytics Big Data",https://www.naukri.com/job-listings-Hadoop-big-Data-Consultant-Splunk-Delhi-NCR-Noida-8-to-10-years-280918003812?src=jobsearchDesk&sid=15381483126906&xp=23&px=1,"Delhi NCR, Noida",  HR  ,Today,  Not disclosed 
Decision Point,4-8 yrs,The position required for an individual to manage Decision Points client engagement end to end which ...,Senior Analytics Consultant,"team management, excel powerpoint, data analytics, client engagement...",https://www.naukri.com/job-listings-Senior-Analytics-Consultant-Decision-Point-Gurgaon-4-to-8-years-270918900676?src=jobsearchDesk&sid=15381483126906&xp=24&px=1,Gurgaon,  HR  ,Today,  Not disclosed 
The Skill Labs,8-10 yrs,- Candidate should have previous experience in driving scalable modern sales processes through tech ...,Regional Head - Client Growth - Sales,"Sales Strategy, Region, Target Achievement, Presentation Skills...",https://www.naukri.com/job-listings-Regional-Head-Client-Growth-Sales-The-Skill-Labs-Mumbai-Gurgaon-8-to-10-years-270918003258?src=jobsearchDesk&sid=15381483126906&xp=25&px=1,"Mumbai, Gurgaon",  HR  ,Today,  Not disclosed 
Confidential,5-10 yrs,They should work closely with the senior management and the technical teams in creating detailed scope ...,Lead - Data Analytics - Forensic & Fraud,"Predictive Analytics, SAS, Data Analytics, Data Quality, Data Analysis...","https://www.naukri.com/job-listings-Lead-Data-Analytics-Forensic-Fraud-Confidential-Mumbai-Bengaluru-Chennai-Kolkata-Delhi-5-to-10-years-300718007837?src=jobsearchDesk&sid=15381483126906&xp=26&px=1,https://www.naukri.com/recruiters/profile/amitarora-1974544?xz=0_0_7,https://www.naukri.com/recruiters/profile/amitarora-1974544?xz=0_0_7","Mumbai, Bengaluru, Chennai, Kolkata, Delhi",  Amit Arora  ,58 days ago,  Not disclosed 
EYGBS (INDIA) LLP,6-9 yrs,Experience in managing multiple concurrent initiatives from multiple regions or clients;Self-driven and ...,Assurance Data Analytics - Senior,"Data Analytics, Process Improvement, business analytics, Excel, SPSS, SAS",https://www.naukri.com/job-listings-Assurance-Data-Analytics-Senior-EYGBS-INDIA-LLP-Gurgaon-6-to-9-years-140818900285?src=jobsearchDesk&sid=15381483126906&xp=27&px=1,Gurgaon,  HR  ,39 days ago,  Not disclosed 
Nupeak IT Solutions,6-10 yrs,"Typically requires a minimum of 5-7 years experience analyzing data and/or teaching, including at least ...",Sr. SAS Data Analytics Consultant,"sas stat, text mining, base sas, data analysis, statistics, analytics...","https://www.naukri.com/job-listings-Sr-SAS-Data-Analytics-Consultant-Nupeak-IT-Solutions-Mumbai-Delhi-Jaipur-6-to-10-years-100718003640?src=jobsearchDesk&sid=15381483126906&xp=28&px=1,https://www.naukri.com/recruiters/profile/hr-2441652?xz=0_0_7,https://www.naukri.com/recruiters/profile/hr-2441652?xz=0_0_7","Mumbai, Delhi, Jaipur",  HR  ,32 days ago,  Not disclosed 
HR SYNERGY,8-11 yrs,- Flexible to work in different time zones and travel as required;- Proficient in using statistical ...,Assistant Manager - Data Analytics - Big4,"SQL, Excel, Javascript, XML, SAS, SPSS, Data Analytics, People Skills...",https://www.naukri.com/job-listings-Assistant-Manager-Data-Analytics-Big4-HR-SYNERGY-Gurgaon-Kerala-8-to-11-years-290818901989?src=jobsearchDesk&sid=15381483126906&xp=29&px=1,"Gurgaon, Kerala",  HR  ,29 days ago,  Not disclosed 
